state,report_for_period_ending,week_number,reflected_week_ending,ic,fic,xic,wsic,wseic,cw,fcw,xcw,wscw,wsecw,ebt,ebui,abt,abui,at,ce,r,ar,p,status,status_change_date,curdate,priorwk_pub,priorwk
MD,2023-01-14,1,2023-01-07,2952,8,3,6,1,23131,183,72,9,3,0,0,1,1,19255,3070745,0.62,2.76,22.46,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-01-21,2,2023-01-14,1989,7,1,0,0,18628,109,36,8,6,0,0,1,1,19415,3070745,0.63,2.59,24.32,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-01-28,3,2023-01-21,1907,8,2,1,0,20735,142,46,19,7,0,0,1,1,19701,3070745,0.64,2.44,26.22,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-02-04,4,2023-01-28,1962,8,1,0,0,21471,101,80,19,5,0,0,1,1,19930,3070745,0.64,2.33,27.46,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-02-11,5,2023-02-04,1825,6,7,0,0,22140,139,74,12,4,0,0,1,1,20343,3070745,0.66,2.2,30,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-02-18,6,2023-02-11,1718,6,1,0,0,21764,171,36,7,2,0,0,1,1,20585,3070745,0.67,2.13,31.45,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-02-25,7,2023-02-18,1689,12,5,0,0,21448,219,87,10,3,0,0,0,0,20924,3070745,0.68,2.09,32.53,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-03-04,8,2023-02-25,1954,8,3,0,0,22390,157,78,5,2,0,0,0,0,21076,3070745,0.68,2.07,32.85,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-03-11,9,2023-03-04,1865,2,2,0,0,23137,119,65,10,4,0,0,1,1,21319,3070745,0.69,2.04,33.82,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-03-18,10,2023-03-11,1866,9,4,0,0,22239,169,45,15,5,0,0,3,3,21504,3070745,0.7,2.04,34.31,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-03-25,11,2023-03-18,2048,10,1,0,0,21035,132,40,4,1,2,2,1,1,21580,3070745,0.7,2.01,34.82,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-04-01,12,2023-03-25,1785,6,1,0,0,21634,165,45,7,2,0,0,2,2,21643,3070745,0.7,1.98,35.35,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-04-08,13,2023-04-01,2551,6,4,0,0,20365,108,57,2,1,0,0,2,2,21551,2476172,0.87,1.95,44.61,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-04-15,14,2023-04-08,2109,15,0,0,0,20600,153,36,1,0,0,0,2,2,21356,2476172,0.86,1.91,45.02,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-04-22,15,2023-04-15,2027,9,0,0,0,19737,114,37,4,1,0,0,2,2,21441,2476172,0.86,1.86,46.23,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-04-29,16,2023-04-22,1970,8,9,19,0,19494,137,39,0,0,0,0,2,2,21345,2476172,0.86,1.8,47.77,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-05-06,17,2023-04-29,2063,12,10,19,7,19455,117,39,0,0,0,0,1,1,21190,2476172,0.85,1.91,44.5,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
MD,2023-05-13,18,2023-05-06,1974,1,4,3,1,18741,108,46,3,1,0,0,1,1,20928,2476172,0.84,1.85,45.4,E,2020-12-12,4/25/2025,4/20/2025,4/18/2025
